NIS;VK;kieskring;aantal lijsten;nr lijst;lijstnaam;max_zetels;volgnr;Achternaam_stembiljet;voornaam_stembiljet
11001;CG;Aartselaar;6;1;sp.a;23;1;VAN KERCKHOVEN;Shari
11001;CG;Aartselaar;6;1;sp.a;23;2;HAMEAU;Olivier
11001;CG;Aartselaar;6;1;sp.a;23;3;VERMEIR;Ingrid
11001;CG;Aartselaar;6;1;sp.a;23;4;RÖTTGER;Jan
11001;CG;Aartselaar;6;1;sp.a;23;5;LORRENDOPT;Ludo
11001;CG;Aartselaar;6;1;sp.a;23;6;TICHELBAUT;Mirjam
11001;CG;Aartselaar;6;1;sp.a;23;7;DE DECKKER;Willy
11001;CG;Aartselaar;6;1;sp.a;23;8;LORRENTOP;Marina
11001;CG;Aartselaar;6;1;sp.a;23;9;LANNOY;Willy
11001;CG;Aartselaar;6;1;sp.a;23;10;SCHENKELS;Monique
11001;CG;Aartselaar;6;1;sp.a;23;11;EECKELAERT;Johan
11001;CG;Aartselaar;6;1;sp.a;23;12;SOMERS;Myriam
11001;CG;Aartselaar;6;1;sp.a;23;13;RYPENS;Pat
11001;CG;Aartselaar;6;1;sp.a;23;14;LEPOMME;Dwight
11001;CG;Aartselaar;6;1;sp.a;23;15;HERTOGHS;Steve
11001;CG;Aartselaar;6;1;sp.a;23;16;STROOBANTS;Annie
11001;CG;Aartselaar;6;1;sp.a;23;17;DE POORTERE;Lieve
11001;CG;Aartselaar;6;1;sp.a;23;18;DE BRUYN;Julienne
11001;CG;Aartselaar;6;1;sp.a;23;19;BISSCHOP;Lucienne
11001;CG;Aartselaar;6;1;sp.a;23;20;CALLUY;Freddy
11001;CG;Aartselaar;6;1;sp.a;23;21;HUYGEN;Marleen
11001;CG;Aartselaar;6;1;sp.a;23;22;HELLEMANS;Ronny
11001;CG;Aartselaar;6;1;sp.a;23;23;HAMEAU;Willy
11001;CG;Aartselaar;6;2;N-VA;23;1;DE WIT;Sophie
11001;CG;Aartselaar;6;2;N-VA;23;2;LAMBRECHT;Bart
11001;CG;Aartselaar;6;2;N-VA;23;3;HEYMAN;Hilde
11001;CG;Aartselaar;6;2;N-VA;23;4;VANHECKE;Mark
11001;CG;Aartselaar;6;2;N-VA;23;5;BEELS;Anouk
11001;CG;Aartselaar;6;2;N-VA;23;6;DE HERTOGH;Bart
11001;CG;Aartselaar;6;2;N-VA;23;7;HULIN;Yves
11001;CG;Aartselaar;6;2;N-VA;23;8;NAUWELAERS;Latoya
11001;CG;Aartselaar;6;2;N-VA;23;9;D'EER;Guido
11001;CG;Aartselaar;6;2;N-VA;23;10;DE GRYSE;Rosanne
11001;CG;Aartselaar;6;2;N-VA;23;11;DE BIE;Joris
11001;CG;Aartselaar;6;2;N-VA;23;12;DE LEEUW;Paula
11001;CG;Aartselaar;6;2;N-VA;23;13;VAN DER HEYDEN;Jan
11001;CG;Aartselaar;6;2;N-VA;23;14;CAREMANS;Nicole
11001;CG;Aartselaar;6;2;N-VA;23;15;VAN RUYSSEVELT;Anne
11001;CG;Aartselaar;6;2;N-VA;23;16;DE BOECK;Joris
11001;CG;Aartselaar;6;2;N-VA;23;17;BAUDEWIJNS;Geert
11001;CG;Aartselaar;6;2;N-VA;23;18;DE WILDE;Paul
11001;CG;Aartselaar;6;2;N-VA;23;19;MERTENS-VAN DE VYVER;Simonne
11001;CG;Aartselaar;6;2;N-VA;23;20;DESSOY;Sylvie
11001;CG;Aartselaar;6;2;N-VA;23;21;OKSUZ;Wannes
11001;CG;Aartselaar;6;2;N-VA;23;22;VRANCKEN;Isabelle
11001;CG;Aartselaar;6;2;N-VA;23;23;VERMOESEN;Eddy
11001;CG;Aartselaar;6;3;CD&V-NAP;23;1;WILS;Kris
11001;CG;Aartselaar;6;3;CD&V-NAP;23;2;MOORTGAT;Mia
11001;CG;Aartselaar;6;3;CD&V-NAP;23;3;SIEBENS;Rudy
11001;CG;Aartselaar;6;3;CD&V-NAP;23;4;HOOFT;Eric
11001;CG;Aartselaar;6;3;CD&V-NAP;23;5;VAN DE WEYER;Rina
11001;CG;Aartselaar;6;3;CD&V-NAP;23;6;GOVAERTS;Jolien
11001;CG;Aartselaar;6;3;CD&V-NAP;23;7;VERLOOY;Meentje
11001;CG;Aartselaar;6;3;CD&V-NAP;23;8;JORDAENS;François
11001;CG;Aartselaar;6;3;CD&V-NAP;23;9;CALLENS;Leo
11001;CG;Aartselaar;6;3;CD&V-NAP;23;10;VAN TWEL;Nicole
11001;CG;Aartselaar;6;3;CD&V-NAP;23;11;LUYCKX;Chris
11001;CG;Aartselaar;6;3;CD&V-NAP;23;12;VAN PARYS;Jens
11001;CG;Aartselaar;6;3;CD&V-NAP;23;13;DEN ABT;Lea
11001;CG;Aartselaar;6;3;CD&V-NAP;23;14;STEPPE;Marisse
11001;CG;Aartselaar;6;3;CD&V-NAP;23;15;GEUENS;Walter
11001;CG;Aartselaar;6;3;CD&V-NAP;23;16;FIERS;Maurice
11001;CG;Aartselaar;6;3;CD&V-NAP;23;17;GERARTS;Jetje
11001;CG;Aartselaar;6;3;CD&V-NAP;23;18;BOECKXSTAENS;Lieve
11001;CG;Aartselaar;6;3;CD&V-NAP;23;19;COECK;Julien
11001;CG;Aartselaar;6;3;CD&V-NAP;23;20;CAMERTIJN;Alex
11001;CG;Aartselaar;6;3;CD&V-NAP;23;21;LEYMAN;Karina
11001;CG;Aartselaar;6;3;CD&V-NAP;23;22;DE MUNTER;Jeroen
11001;CG;Aartselaar;6;3;CD&V-NAP;23;23;SEGERS;Ludo
11001;CG;Aartselaar;6;4;Groen;23;1;LAUWERS;René
11001;CG;Aartselaar;6;4;Groen;23;2;DE WEERDT;Anse
11001;CG;Aartselaar;6;4;Groen;23;3;CAPPAERT;Alex
11001;CG;Aartselaar;6;4;Groen;23;4;DECLERCK;Carolyn
11001;CG;Aartselaar;6;4;Groen;23;5;SCHEERLINCK;Heidi
11001;CG;Aartselaar;6;4;Groen;23;6;COPS;Hans
11001;CG;Aartselaar;6;4;Groen;23;7;VAN DAAL;Roel
11001;CG;Aartselaar;6;4;Groen;23;8;VAN GOIDSENHOVEN;Magda
11001;CG;Aartselaar;6;4;Groen;23;9;CHAKRI;Touria
11001;CG;Aartselaar;6;4;Groen;23;10;BUSEYNE;Oswald
11001;CG;Aartselaar;6;4;Groen;23;11;DECOENE;Walter
11001;CG;Aartselaar;6;4;Groen;23;12;DENISSEN;Greet
11001;CG;Aartselaar;6;4;Groen;23;13;FATHI;Hasan
11001;CG;Aartselaar;6;4;Groen;23;14;D'HOLLANDER;Lucrèce
11001;CG;Aartselaar;6;4;Groen;23;15;SEGERS;Marc
11001;CG;Aartselaar;6;4;Groen;23;16;MERTENS;Els
11001;CG;Aartselaar;6;4;Groen;23;17;BOEKEN;Christine
11001;CG;Aartselaar;6;4;Groen;23;18;HEIRBAUT;Fons
11001;CG;Aartselaar;6;4;Groen;23;19;SCHOLIERS;Angela
11001;CG;Aartselaar;6;4;Groen;23;20;CALLAERTS;Sven
11001;CG;Aartselaar;6;4;Groen;23;21;SCHOUTEDEN;Jos
11001;CG;Aartselaar;6;4;Groen;23;22;DIERCKX;Hilde
11001;CG;Aartselaar;6;4;Groen;23;23;APERS;Peter
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;1;SCHUURMANS;Mike
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;2;CEULEMANS;Rita
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;3;VAN TONGERLOO;Kris
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;4;GORRIS;Marleen
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;5;DE BEUL;Hugo
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;6;VAN REETH;Julienne
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;7;VANDENHENDE;Andreas
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;8;VEREYKEN;Gerda
11001;CG;Aartselaar;6;5;VLAAMS BELANG;9;9;VAN DYCK;Frank
11001;CG;Aartselaar;6;6;Open Vld;23;1;ANNÉ;Glenn
11001;CG;Aartselaar;6;6;Open Vld;23;2;BAL;Cristel
11001;CG;Aartselaar;6;6;Open Vld;23;3;VANDEBROECK;Marijke
11001;CG;Aartselaar;6;6;Open Vld;23;4;GUNS;Jan
11001;CG;Aartselaar;6;6;Open Vld;23;5;DERIJCK;Anja
11001;CG;Aartselaar;6;6;Open Vld;23;6;VERBEECK;Jorn
11001;CG;Aartselaar;6;6;Open Vld;23;7;CHKHACHKHI;Farid
11001;CG;Aartselaar;6;6;Open Vld;23;8;VEREYCKEN;Kurt
11001;CG;Aartselaar;6;6;Open Vld;23;9;CLYGNET;Vera
11001;CG;Aartselaar;6;6;Open Vld;23;10;STEVENS;Luc
11001;CG;Aartselaar;6;6;Open Vld;23;11;DE MESMAECKER;Caroline
11001;CG;Aartselaar;6;6;Open Vld;23;12;BUYCK;Yentl
11001;CG;Aartselaar;6;6;Open Vld;23;13;LEROY;Sigrid
11001;CG;Aartselaar;6;6;Open Vld;23;14;SMET;Guy
11001;CG;Aartselaar;6;6;Open Vld;23;15;MARIEN;Gert
11001;CG;Aartselaar;6;6;Open Vld;23;16;GYSEL;Tom
11001;CG;Aartselaar;6;6;Open Vld;23;17;DE BONDT;Krisje
11001;CG;Aartselaar;6;6;Open Vld;23;18;SIJMONS;Sacha
11001;CG;Aartselaar;6;6;Open Vld;23;19;HELLEMANS;Carine
11001;CG;Aartselaar;6;6;Open Vld;23;20;VERSTREKEN;Willy
11001;CG;Aartselaar;6;6;Open Vld;23;21;VAN HOREN;Hilde
11001;CG;Aartselaar;6;6;Open Vld;23;22;VAN ONCKELEN;Rudy
11001;CG;Aartselaar;6;6;Open Vld;23;23;FRANCUS;Nadine
11002;CG;Antwerpen;13;1;sp.a;55;1;BEELS;Jinnih
11002;CG;Antwerpen;13;1;sp.a;55;2;MEEUWS;Tom
11002;CG;Antwerpen;13;1;sp.a;55;3;TURAN;Güler
11002;CG;Antwerpen;13;1;sp.a;55;4;BACHAR;Karim
11002;CG;Antwerpen;13;1;sp.a;55;5;SCHECK;Tatjana
11002;CG;Antwerpen;13;1;sp.a;55;6;VERHOEVEN;Greg
11002;CG;Antwerpen;13;1;sp.a;55;7;HANNES;Christine
11002;CG;Antwerpen;13;1;sp.a;55;8;BELOY;Paul
11002;CG;Antwerpen;13;1;sp.a;55;9;VAN DER SCHUEREN;Caro
11002;CG;Antwerpen;13;1;sp.a;55;10;EL MZAIRH;Hicham
11002;CG;Antwerpen;13;1;sp.a;55;11;ISSIFOU;Yao
11002;CG;Antwerpen;13;1;sp.a;55;12;MEES;Vic
11002;CG;Antwerpen;13;1;sp.a;55;13;KLIOUAL;Layla
11002;CG;Antwerpen;13;1;sp.a;55;14;APERS;Karl
11002;CG;Antwerpen;13;1;sp.a;55;15;CORREMANS;Simonne
11002;CG;Antwerpen;13;1;sp.a;55;16;SEGERS;Ben
11002;CG;Antwerpen;13;1;sp.a;55;17;AMOAKO;Monique
11002;CG;Antwerpen;13;1;sp.a;55;18;VERHEYEN;John
11002;CG;Antwerpen;13;1;sp.a;55;19;UGURLU;Sener
