"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"10000"	"Pr.Anvers"	"Pr.Antwerpen"	"Pr.Antwerpen"	"01.01.0001"	"31.12.9999"
"11001"	"-"	"Aartselaar"	"-"	"01.01.0001"	"31.12.9999"
"11002"	"Anvers"	"Antwerpen"	"Antwerpen"	"01.01.0001"	"31.12.9999"
"11003"	"-"	"Berchem (Ant.)"	"-"	"01.01.0001"	"01.01.1983"
"11004"	"-"	"Boechout"	"-"	"01.01.0001"	"31.12.9999"
"11005"	"-"	"Boom"	"-"	"01.01.0001"	"31.12.9999"
"11006"	"-"	"Borgerhout"	"-"	"01.01.0001"	"01.01.1983"
"11007"	"-"	"Borsbeek"	"-"	"01.01.0001"	"31.12.9999"
"11008"	"-"	"Brasschaat"	"-"	"01.01.0001"	"31.12.9999"
"11009"	"-"	"Brecht"	"-"	"01.01.0001"	"31.12.9999"
"11010"	"-"	"Broechem"	"-"	"01.01.0001"	"03.01.1977"
"11011"	"-"	"Burcht"	"-"	"01.01.0001"	"03.01.1977"
"11012"	"-"	"Deurne (Ant.)"	"-"	"01.01.0001"	"01.01.1983"
"11013"	"-"	"Edegem"	"-"	"01.01.0001"	"31.12.9999"
"11014"	"-"	"Ekeren"	"-"	"01.01.0001"	"01.01.1983"
"11015"	"-"	"Emblem"	"-"	"01.01.0001"	"03.01.1977"
"11016"	"-"	"Essen"	"-"	"01.01.0001"	"31.12.9999"
"11017"	"-"	"Halle (Kempen)"	"-"	"01.01.0001"	"02.01.1977"
"11018"	"-"	"Hemiksem"	"-"	"01.01.0001"	"31.12.9999"
"11019"	"-"	"Hoboken"	"-"	"01.01.0001"	"01.01.1983"
"11020"	"-"	"Hoevenen"	"-"	"01.01.0001"	"03.01.1977"
"11021"	"-"	"Hove"	"-"	"01.01.0001"	"31.12.9999"
"11022"	"-"	"Kalmthout"	"-"	"01.01.0001"	"31.12.9999"
"11023"	"-"	"Kapellen"	"-"	"01.01.0001"	"31.12.9999"
"11024"	"-"	"Kontich"	"-"	"01.01.0001"	"31.12.9999"
"11025"	"-"	"Lint"	"-"	"01.01.0001"	"31.12.9999"
"11026"	"-"	"Loenhout"	"-"	"01.01.0001"	"02.01.1977"
"11027"	"-"	"Massenhoven"	"-"	"01.01.0001"	"01.01.1977"
"11028"	"-"	"Merksem"	"-"	"01.01.0001"	"01.01.1983"
"11029"	"-"	"Mortsel"	"-"	"01.01.0001"	"31.12.9999"
"11030"	"-"	"Niel"	"-"	"01.01.0001"	"31.12.9999"
"11031"	"-"	"Oelegem"	"-"	"01.01.0001"	"03.01.1977"
"11032"	"-"	"Oostmalle"	"-"	"01.01.0001"	"02.01.1977"
"11033"	"-"	"Pulderbos"	"-"	"01.01.0001"	"01.01.1977"
"11034"	"-"	"Pulle"	"-"	"01.01.0001"	"01.01.1977"
"11035"	"-"	"Ranst"	"-"	"01.01.0001"	"31.12.9999"
"11036"	"-"	"Reet"	"-"	"01.01.0001"	"02.01.1977"
"11037"	"-"	"Rumst"	"-"	"01.01.0001"	"31.12.9999"
"11038"	"-"	"Schelle"	"-"	"01.01.0001"	"31.12.9999"
"11039"	"-"	"Schilde"	"-"	"01.01.0001"	"31.12.9999"
"11040"	"-"	"Schoten"	"-"	"01.01.0001"	"31.12.9999"
"11041"	"-"	"s Gravenwezel"	"-"	"01.01.0001"	"02.01.1977"
"11042"	"-"	"Sint-Job-in-'t-Goor"	"-"	"01.01.0001"	"01.01.1977"
"11043"	"-"	"Sint-Lenaarts"	"-"	"01.01.0001"	"01.01.1977"
"11044"	"-"	"Stabroek"	"-"	"01.01.0001"	"31.12.9999"
"11045"	"-"	"Terhagen"	"-"	"01.01.0001"	"02.01.1977"
"11046"	"-"	"Viersel"	"-"	"01.01.0001"	"01.01.1977"
"11047"	"-"	"Vremde"	"-"	"01.01.0001"	"03.01.1977"
"11048"	"-"	"Waarloos"	"-"	"01.01.0001"	"03.01.1977"
"11049"	"-"	"Westmalle"	"-"	"01.01.0001"	"19.10.1979"
"11050"	"-"	"Wijnegem"	"-"	"01.01.0001"	"31.12.9999"
"11051"	"-"	"Wilrijk"	"-"	"01.01.0001"	"01.01.1983"
"11052"	"-"	"Wommelgem"	"-"	"01.01.0001"	"31.12.9999"
"11053"	"-"	"Wuustwezel"	"-"	"01.01.0001"	"31.12.9999"
"11054"	"-"	"Zandhoven"	"-"	"01.01.0001"	"31.12.9999"
"11055"	"-"	"Zoersel"	"-"	"01.01.0001"	"31.12.9999"
"11056"	"-"	"Zwijndrecht"	"-"	"01.01.0001"	"31.12.9999"
"11057"	"-"	"Malle"	"-"	"19.10.1979"	"31.12.9999"
"11202"	"Anvers(district 2)"	"Antwerpen(district 2)"	"Antwerpen(Distrikt 2)"	"01.01.0001"	"31.12.9999"
"11210"	"Brecht(district 2)"	"Brecht(district 2)"	"Brecht(Distrikt 2)"	"01.01.0001"	"31.12.9999"
"11212"	"Anvers(Berendrecht)"	"Antwerpen(Berendrecht)"	"Antwerpen(Berendrecht)"	"01.01.0001"	"31.12.9999"
"11222"	"Anvers(Zandvliet)"	"Antwerpen(Zandvliet)"	"Antwerpen(Zandvliet)"	"01.01.0001"	"31.12.9999"
"11223"	"Anvers (Berendrecht-Zandvliet-Lillo)"	"Antwerpen (Berendrecht-Zandvliet-Lillo)"	"Antwerpen (Berendrecht-Zandvliet-Lillo)"	"01.01.0001"	"31.12.9999"
"11232"	"Anvers(Berchem)"	"Antwerpen(Berchem)"	"Antwerpen(Berchem)"	"01.01.0001"	"31.12.9999"
"11242"	"Anvers(Borgerhout)"	"Antwerpen(Borgerhout)"	"Antwerpen(Borgerhout)"	"01.01.0001"	"31.12.9999"
"11252"	"Anvers(Deurne)"	"Antwerpen(Deurne)"	"Antwerpen(Deurne)"	"01.01.0001"	"31.12.9999"
"11262"	"Anvers(Ekeren)"	"Antwerpen(Ekeren)"	"Antwerpen(Ekeren)"	"01.01.0001"	"31.12.9999"
"11272"	"Anvers(Hoboken)"	"Antwerpen(Hoboken)"	"Antwerpen(Hoboken)"	"01.01.0001"	"31.12.9999"
"11282"	"Anvers(Merksem)"	"Antwerpen(Merksem)"	"Antwerpen(Merksem)"	"01.01.0001"	"31.12.9999"
"11292"	"Anvers(Wilrijk)"	"Antwerpen(Wilrijk)"	"Antwerpen(Wilrijk)"	"01.01.0001"	"31.12.9999"
"11302"	"Anvers(district 3)"	"Antwerpen(district 3)"	"Antwerpen(Distrikt 3)"	"01.01.0001"	"31.12.9999"
"11402"	"Anvers(district 4)"	"Antwerpen(district 4)"	"Antwerpen(Distrikt 4)"	"01.01.0001"	"31.12.9999"
"11501"	"-"	"Austruweel"	"-"	"01.01.0001"	"22.03.1929"
"11502"	"Anvers(district 5)"	"Antwerpen(district 5)"	"Antwerpen(Distrikt 5)"	"01.01.0001"	"31.12.9999"
"11503"	"-"	"Deurne-Borgerhout"	"-"	"01.01.0001"	"01.01.1900"
"11504"	"-"	"Lillo"	"-"	"01.01.0001"	"22.03.1958"
"11505"	"-"	"Oorderen"	"-"	"01.01.0001"	"22.03.1929"
"11506"	"Wilmarsdonck"	"Wilmarsdonk"	"-"	"01.01.0001"	"22.03.1929"
