"Verkiezing","NIS","Lijstnummer","Lijstnaam","Volgnummer","Naam","Leeftijd","Geslacht","Voorkeurstemmen","Verkozen","Verkozen volgnummer"
"Aalst","41002",7,"CD&V",6,"GEES Lien",25,"F",635,0,1
"Aalst","41002",7,"CD&V",7,"VAN VAERENBERGH Silke",25,"F",715,0,2
"Aalst","41002",7,"CD&V",9,"MAESSCHALCK Tinneke",26,"F",439,0,13
"Aalst","41002",7,"CD&V",37,"VAN MARCKE Debbie",27,"F",369,0,17
"Aalst","41002",7,"CD&V",5,"BEULENS Katrien",31,"F",1059,1,5
"Aalst","41002",7,"CD&V",20,"PEIRLINCK Nicolas",31,"M",322,0,25
"Aalst","41002",7,"CD&V",4,"DE KONINCK Iwein",35,"M",1547,1,2
"Aalst","41002",7,"CD&V",25,"VAN NUFFEL Karolien",35,"F",320,0,26
"Aalst","41002",7,"CD&V",19,"EEMAN Marie",36,"F",338,0,23
"Aalst","41002",7,"CD&V",21,"PHILIPS Inge",36,"F",344,0,20
"Aalst","41002",7,"CD&V",28,"VAN ACKER Koen",36,"M",349,0,19
"Aalst","41002",7,"CD&V",40,"NSENGIMANA Théodomir",37,"M",626,0,6
"Aalst","41002",7,"CD&V",13,"VAN DEN BROECK Vera",42,"F",543,0,7
"Aalst","41002",7,"CD&V",26,"SCHATTEMAN Gert",42,"M",317,0,27
"Aalst","41002",7,"CD&V",24,"KINOO Werner",43,"M",383,0,14
"Aalst","41002",7,"CD&V",18,"VERMOESEN Johan",44,"M",535,0,8
"Aalst","41002",7,"CD&V",1,"UYTTERSPROT Ilse",45,"F",5720,1,1
"Aalst","41002",7,"CD&V",10,"DE SADELEER Geert",46,"M",636,0,5
"Aalst","41002",7,"CD&V",12,"BAEYENS Etienne",46,"M",295,0,29
"Aalst","41002",7,"CD&V",23,"COOMAN Ariane",46,"F",300,0,28
"Aalst","41002",7,"CD&V",29,"COEN Carla",46,"F",278,0,30
"Aalst","41002",7,"CD&V",32,"AELBRECHT Chris",46,"M",350,0,18
"Aalst","41002",7,"CD&V",17,"DE WOLF Vera",49,"F",454,0,12
"Aalst","41002",7,"CD&V",33,"SCHOCKAERT Lena",49,"F",373,0,16
"Aalst","41002",7,"CD&V",35,"JACQUEMIJN An",49,"F",343,0,21
"Aalst","41002",7,"CD&V",15,"SAVOYE Anneke",50,"F",456,0,11
"Aalst","41002",7,"CD&V",2,"VAN LYSEBETH Bart",52,"M",820,1,8
"Aalst","41002",7,"CD&V",27,"VAN LANDUYT Ria",52,"F",472,0,10
"Aalst","41002",7,"CD&V",14,"SLAGMULDER Hans",53,"M",325,0,24
"Aalst","41002",7,"CD&V",8,"GIELENS Marc",54,"M",825,1,7
"Aalst","41002",7,"CD&V",11,"VAN DE WINKEL Stefaan",54,"M",379,0,15
"Aalst","41002",7,"CD&V",22,"BIEBAUT Guido",54,"M",235,0,32
"Aalst","41002",7,"CD&V",38,"PUTTEMAN Dirk",54,"M",264,0,31
"Aalst","41002",7,"CD&V",34,"COPPENS Marc",55,"M",224,0,33
"Aalst","41002",7,"CD&V",39,"DEFRANCE Anne",55,"F",221,0,34
"Aalst","41002",7,"CD&V",3,"COUCKUYT Eddy",56,"M",1532,1,3
"Aalst","41002",7,"CD&V",36,"VAN DER EECKEN Herman",57,"M",191,0,35
"Aalst","41002",7,"CD&V",16,"STOCKMAN Paul",62,"M",1185,1,4
"Aalst","41002",7,"CD&V",31,"FEUSELS Emi",64,"F",342,0,22
"Aalst","41002",7,"CD&V",42,"DE MEY Jan",64,"M",669,0,4
"Aalst","41002",7,"CD&V",30,"VAN DE PERRE Arnold",68,"M",669,0,3
"Aalst","41002",7,"CD&V",41,"VAN IMPE Zuster Renata",74,"F",528,0,9
"Aalst","41002",7,"CD&V",43,"LIEVENS - BORMS Chris",77,"F",832,1,6
"Aalst","41002",6,"Groen",33,"RUYSSEVELDT Sam",20,"M",95,0,37
"Aalst","41002",6,"Groen",21,"WANTENS Lander",21,"M",153,0,14
"Aalst","41002",6,"Groen",27,"DE DECKER Dries",21,"M",112,0,33
"Aalst","41002",6,"Groen",26,"EECKHAUT Kelly",24,"F",122,0,26
"Aalst","41002",6,"Groen",2,"MBUYI-ELONGA Nancy",26,"F",442,1,2
"Aalst","41002",6,"Groen",24,"HUSEIN Abir",26,"F",132,0,21
"Aalst","41002",6,"Groen",10,"ANA CARDOSO Violeta",27,"F",168,0,11
"Aalst","41002",6,"Groen",4,"VERHILLE Anaïs",28,"F",203,0,4
"Aalst","41002",6,"Groen",25,"VAN LIERDE Hannes",30,"M",114,0,30
"Aalst","41002",6,"Groen",22,"CUYPERS Annelies",31,"F",173,0,8
"Aalst","41002",6,"Groen",23,"SEGERS Stijn",32,"M",172,0,9
"Aalst","41002",6,"Groen",31,"PLAS Steven",33,"M",115,0,29
"Aalst","41002",6,"Groen",38,"DE COSTER Wendy",39,"F",112,0,34
"Aalst","41002",6,"Groen",20,"UYTTERSPROT Tine",41,"F",158,0,13
"Aalst","41002",6,"Groen",42,"VAN STEENBERGHE Sofie",41,"F",131,0,23
"Aalst","41002",6,"Groen",32,"GABRIËLS Anneleen",43,"F",128,0,24
"Aalst","41002",6,"Groen",13,"VAN DER SCHUEREN Jan",44,"M",122,0,25
"Aalst","41002",6,"Groen",34,"BLANCKAERT Ann",45,"F",142,0,17
"Aalst","41002",6,"Groen",11,"AL AMO Musto",46,"M",131,0,22
"Aalst","41002",6,"Groen",30,"YILDIZ Fatma",46,"F",365,0,2
"Aalst","41002",6,"Groen",17,"DE WINNE Kris",47,"M",102,0,36
"Aalst","41002",6,"Groen",18,"VAN CUTSEM Hilde",49,"F",137,0,20
"Aalst","41002",6,"Groen",28,"CHRISTIAANS Diane",49,"F",114,0,31
"Aalst","41002",6,"Groen",36,"HANSSENS Sonja",49,"F",113,0,32
"Aalst","41002",6,"Groen",16,"DOHOGNE Mieke",51,"F",167,0,12
"Aalst","41002",6,"Groen",35,"SERGEANT  Pascal",52,"M",95,0,38
"Aalst","41002",6,"Groen",40,"VAN HOLSBEECK  Ili",52,"F",121,0,27
"Aalst","41002",6,"Groen",1,"VERLEYSEN Andreas",54,"M",865,1,1
"Aalst","41002",6,"Groen",29,"DE RYCK Dirk",54,"M",74,0,41
"Aalst","41002",6,"Groen",41,"VAN DEN ABBEELE Stefaan",54,"M",141,0,19
"Aalst","41002",6,"Groen",5,"BLENDEMAN Dirk",56,"M",141,0,18
"Aalst","41002",6,"Groen",7,"NIJS Karel",56,"M",192,0,5
"Aalst","41002",6,"Groen",8,"SPIJKER Joke",56,"F",176,0,7
"Aalst","41002",6,"Groen",12,"ADRIAENS Marlies",57,"F",147,0,15
"Aalst","41002",6,"Groen",19,"VAN MALDEREN Eric",57,"M",116,0,28
"Aalst","41002",6,"Groen",43,"NIJS Paul",58,"M",172,0,10
"Aalst","41002",6,"Groen",9,"VAN LIERDE Luc",63,"M",177,0,6
"Aalst","41002",6,"Groen",6,"DE VEYLDER Francine",65,"F",207,0,3
"Aalst","41002",6,"Groen",3,"DE SMET Marc",66,"M",178,0,1
"Aalst","41002",6,"Groen",14,"VALVEKENS Gilberte",67,"F",146,0,16
"Aalst","41002",6,"Groen",37,"MATHIEU Paul",79,"M",83,0,40
"Aalst","41002",6,"Groen",39,"CALLEBAUT Roger",79,"M",92,0,39
"Aalst","41002",6,"Groen",15,"DE WAEGENEER René",89,"M",102,0,35
"Aalst","41002",2,"N-VA",7,"COPPENS David",21,"M",841,0,2
"Aalst","41002",2,"N-VA",10,"VAN DER VEKEN Wouter",21,"M",876,1,15
"Aalst","41002",2,"N-VA",21,"GHEYSSENS Esther",21,"F",662,0,14
"Aalst","41002",2,"N-VA",15,"DE RIDDER Matthias",23,"M",1645,1,5
"Aalst","41002",2,"N-VA",22,"SIDORSKI Radek",23,"M",547,0,21
"Aalst","41002",2,"N-VA",13,"DEGHELS Yasmine",24,"F",862,0,4
"Aalst","41002",2,"N-VA",37,"BUYDENS Birte",25,"F",525,0,26
"Aalst","41002",2,"N-VA",9,"VERDOODT Caroline",29,"F",1590,1,6
"Aalst","41002",2,"N-VA",42,"CAYET Sylvia",29,"F",813,0,6
"Aalst","41002",2,"N-VA",17,"DEVOS Karolien",30,"F",1050,1,12
"Aalst","41002",2,"N-VA",18,"DE MEERLEER Caroline",30,"F",1119,1,10
"Aalst","41002",2,"N-VA",16,"DEVOS Kristof",31,"M",1034,1,13
"Aalst","41002",2,"N-VA",2,"SMEYERS Sarah",32,"F",3605,1,2
"Aalst","41002",2,"N-VA",14,"CASSIMAN Pieter",33,"M",727,0,8
"Aalst","41002",2,"N-VA",8,"VAN DE VELDE Johan",34,"M",726,0,9
"Aalst","41002",2,"N-VA",11,"NIEULANDT Sanne",35,"F",1202,1,8
"Aalst","41002",2,"N-VA",43,"BLOMMAERT Maarten",37,"M",1387,1,7
"Aalst","41002",2,"N-VA",31,"VAN LIERDE Joris",40,"M",602,0,17
"Aalst","41002",2,"N-VA",41,"LEFEVRE Didier",40,"M",577,0,19
"Aalst","41002",2,"N-VA",30,"VAN VAERENBERGH Kris",42,"M",867,0,3
"Aalst","41002",2,"N-VA",1,"D'HAESE Christoph",45,"M",5799,1,1
"Aalst","41002",2,"N-VA",6,"VERHAEGEN Ignace",45,"M",782,0,1
"Aalst","41002",2,"N-VA",23,"WAUTERS Marielle",45,"F",588,0,18
"Aalst","41002",2,"N-VA",27,"DIERCKX Jan",46,"M",532,0,24
"Aalst","41002",2,"N-VA",35,"DENUTTE Isabelle",47,"F",635,0,16
"Aalst","41002",2,"N-VA",36,"WELLEKENS Daisy",47,"F",526,0,25
"Aalst","41002",2,"N-VA",40,"DE NEVE Mieke",47,"F",771,0,7
"Aalst","41002",2,"N-VA",3,"VAN OVERMEIRE Karim",48,"M",2322,1,3
"Aalst","41002",2,"N-VA",32,"VAN RANSBEEK Martine",48,"F",823,0,5
