"Verkiezing","NIS","Lijstnummer","lijst","VolledigLijstStemmen","OnvolledigLijstStemmen"
"Aalst","41002",1,"Open Vld",1059,8557
"Aalst","41002",2,"N-VA",4933,12379
"Aalst","41002",3,"VLAAMS BELANG",2143,3860
"Aalst","41002",4,"sp.a",1148,7966
"Aalst","41002",6,"Groen",1078,2190
"Aalst","41002",7,"CD&V",1052,8566
"Aalst","41002",8,"PVDA+",214,447
"Aalter","44001",1,"Open Vld",304,980
"Aalter","44001",3,"VLAAMS BELANG",284,490
"Aalter","44001",6,"Groen",714,2180
"Aalter","44001",7,"CD&V / N-VA",868,8154
"Aarschot","24001",1,"Open Vld",434,2575
"Aarschot","24001",2,"N-VA",1882,2008
"Aarschot","24001",3,"VLAAMS BELANG",716,562
"Aarschot","24001",4,"sp.a",562,2442
"Aarschot","24001",5,"LIJST DEDECKER",74,375
"Aarschot","24001",6,"Groen",675,838
"Aarschot","24001",7,"CD&V",767,5770
"Aarschot","24001",8,"PVD",93,657
"Aarschot","24001",9,"Gemeentebelangen",82,110
"Aartselaar","11001",1,"Open Vld",528,2189
"Aartselaar","11001",2,"N-VA",1150,2538
"Aartselaar","11001",3,"VLAAMS BELANG",256,382
"Aartselaar","11001",4,"sp.a-Groen",343,701
"Aartselaar","11001",7,"CD&V",209,656
"Aartselaar","11001",8,"NAP",130,1047
"Affligem","23105",1,"Open Vld-CTL",154,2119
"Affligem","23105",2,"N-VA",487,1317
"Affligem","23105",3,"VLAAMS BELANG",126,227
"Affligem","23105",8,"LIJST BURGEMEESTER",322,3077
"Affligem","23105",9,"Affligem.NU",110,1086
"Affligem","23105",10,"VOLKS",8,52
"Alken","73001",1,"Open Vld",162,1701
"Alken","73001",2,"N-VA",548,1421
"Alken","73001",4,"sp.a",148,735
"Alken","73001",6,"Groen",261,642
"Alken","73001",7,"CD&V",245,1859
"Alken","73001",8,"echt voor Alken",72,298
"Alken","73001",9,"Om-Mekaar",39,67
"Alveringem","38002",2,"N-VA",79,322
"Alveringem","38002",7,"CD&V",37,735
"Alveringem","38002",8,"GEMEENTEBELANGEN",127,1153
"Alveringem","38002",9,"PRO",69,983
"Antwerpen","11002",1,"Open Vld",3648,11450
"Antwerpen","11002",2,"N-VA",18694,84101
"Antwerpen","11002",3,"VLAAMS BELANG",6333,21491
"Antwerpen","11002",4,"sp.a-CD&V STADSLST",11783,66084
"Antwerpen","11002",6,"Groen",5545,16113
"Antwerpen","11002",8,"PVDA+",3992,17728
"Antwerpen","11002",9,"Piratenpartij",462,995
"Antwerpen","11002",10,"ROOD!",802,1954
"Antwerpen","11002",12,"HART",135,332
"Antwerpen","11002",14,"VRIJ VLUG VOORUIT",78,257
"Antwerpen","11002",16,"Mathieu&Guillaume",148,310
"Anzegem","34002",2,"N-VA",467,602
"Anzegem","34002",3,"VLAAMS BELANG",175,76
"Anzegem","34002",7,"CD&V-GROEN-OK",285,2221
"Anzegem","34002",8,"Samenéén",157,1848
"Anzegem","34002",9,"EENDRACHT",286,3823
"Anzegem","34002",10,"VISIE 2020",142,504
"Ardooie","37020",2,"N-VA",334,441
"Ardooie","37020",8,"GROEP 82",502,3621
"Ardooie","37020",9,"SAMENPLUS",203,1409
"Arendonk","13001",2,"N-VA",616,1927
"Arendonk","13001",3,"VLAAMS BELANG",168,498
"Arendonk","13001",4,"sp.a",250,1075
"Arendonk","13001",7,"CD&V",353,1976
"Arendonk","13001",8,"Arendonk Positief",218,1070
"As","71002",2,"N-VA",268,720
"As","71002",4,"sp.a",102,636
"As","71002",7,"CD&V",91,970
"As","71002",8,"Voluit!",386,2302
"Asse","23002",1,"Open Vld",606,2773
"Asse","23002",2,"N-VA",1389,3784
"Asse","23002",3,"VLAAMS BELANG",365,588
"Asse","23002",4,"sp.a",331,1028
"Asse","23002",6,"Groen",473,779
"Asse","23002",7,"CD&V",517,4796
"Asse","23002",8,"ZELLIK-RELEGEM",594,1604
"Assenede","43002",2,"N-VA",573,1039
"Assenede","43002",3,"VLAAMS BELANG",322,225
"Assenede","43002",7,"CD&V",319,2461
"Assenede","43002",8,"SamenPlus",636,3905
"Assenede","43002",9,"SA Sterk Assenede",41,97
"Assenede","43002",10,"P.A.K PIM",80,99
"Assenede","43002",11,"LeF",60,49
"Avelgem","34003",2,"N-VA",469,424
"Avelgem","34003",4,"sp.a",323,1244
"Avelgem","34003",7,"CD&V",280,2684
"Avelgem","34003",8,"GEMEENTEBELANGEN",229,1127
"Baarle-Hertog","13002",2,"N-VA",29,410
"Baarle-Hertog","13002",8,"CDK",36,562
"Baarle-Hertog","13002",9,"FORUM+",25,260
"Balen","13003",1,"Open Vld",211,1482
"Balen","13003",2,"N-VA",1392,2549
"Balen","13003",4,"sp.a",463,2254
"Balen","13003",7,"CD&V",573,4588
"Balen","13003",8,"Beter BALEN",301,931
"Beernem","31003",2,"N-VA",942,1870
"Beernem","31003",6,"Groen",402,682
"Beernem","31003",7,"CD&V",364,3442
"Beernem","31003",8,"BRON",326,2834
"Beerse","13004",2,"N-VA",1251,2618
"Beerse","13004",6,"Groen",267,753
"Beerse","13004",8,"CDE-Vlim.be",454,3021
"Beerse","13004",9,"BEERSEplus",412,1788
"Beerse","13004",10,"Gemeentebelangen",144,685
"Beersel","23003",1,"Open Vld",553,535
"Beersel","23003",2,"N-VA",1155,2506
"Beersel","23003",3,"VLAAMS BELANG",325,404
"Beersel","23003",4,"sp.a-groen",792,1051
"Beersel","23003",7,"CD&V",548,4119
"Beersel","23003",8,"UB",1136,953
"Beersel","23003",9,"Open Beersel",346,627
"Begijnendijk","24007",2,"N-VA",635,817
"Begijnendijk","24007",7,"CD&V",127,916
"Begijnendijk","24007",8,"Leef",224,391
"Begijnendijk","24007",9,"samen.be",207,1436
"Begijnendijk","24007",10,"MGB",278,2250
"Bekkevoort","24008",2,"N-VA",261,353
"Bekkevoort","24008",4,"sp.a",165,1075
"Bekkevoort","24008",7,"CD&V",236,1514
"Bekkevoort","24008",8,"Bekkevoort Beter",158,647
"Beringen","71004",1,"Open Vld",340,1574
"Beringen","71004",2,"N-VA",2581,5019
"Beringen","71004",4,"sp.a",475,7127
"Beringen","71004",6,"Groen",426,692
"Beringen","71004",7,"CD&V",774,6382
"Beringen","71004",8,"VBLD",755,2787
"Berlaar","12002",1,"Open Vld",144,240
"Berlaar","12002",3,"VLAAMS BELANG",377,376
"Berlaar","12002",4,"sp.a",175,891
"Berlaar","12002",6,"Groen",222,565
"Berlaar","12002",7,"CD&V / N-VA",916,2924
"Berlaar","12002",8,"SamBA",202,827
"Berlare","42003",1,"Open Vld",466,4714
"Berlare","42003",2,"N-VA",568,1082
"Berlare","42003",3,"VLAAMS BELANG",203,401
"Berlare","42003",4,"sp.a",175,842
"Berlare","42003",7,"CD&V",230,1852
"Bertem","24009",2,"N-VA",456,692
"Bertem","24009",4,"sp.a",142,707
"Bertem","24009",6,"Groen",212,354
"Bertem","24009",7,"CD&V",177,1499
"Bertem","24009",8,"GEMBEL - OPEN VLD",213,1708
"Bertem","24009",9,"BBB",91,170
"Bever","23009",7,"CD&V",74,761
"Bever","23009",8,"OPEN VOOR DE MENS",98,572
"Beveren","46003",1,"Open Vld",527,1693
"Beveren","46003",2,"N-VA",3727,7853
"Beveren","46003",3,"VLAAMS BELANG",1394,1603
"Beveren","46003",6,"Groen-sp.a",1365,2539
"Beveren","46003",7,"CD&V Beveren",1672,10489
"Bierbeek","24011",1,"Open Vld",241,1176
"Bierbeek","24011",2,"N-VA",538,939
"Bierbeek","24011",4,"sp.a-Groen",440,920
"Bierbeek","24011",7,"CD&V",307,1952
"Bilzen","73006",1,"Open Vld",335,3412
"Bilzen","73006",2,"N-VA",1275,4862
"Bilzen","73006",3,"VLAAMS BELANG",628,863
"Bilzen","73006",7,"CD&V-NIEUW",639,5917
"Bilzen","73006",8,"PRO-Bilzen",468,3432
"Blankenberge","31004",1,"Open Vld",643,3859
"Blankenberge","31004",2,"N-VA",984,2024
"Blankenberge","31004",3,"VLAAMS BELANG",450,434
"Blankenberge","31004",4,"sp.a",669,2138
"Blankenberge","31004",7,"CD&V",247,1769
"Blankenberge","31004",8,"Dwars Groen",304,334
"Bocholt","72003",2,"N-VA",590,1282
"Bocholt","72003",3,"VLAAMS BELANG",226,163
"Bocholt","72003",4,"sp.a",143,1171
"Bocholt","72003",8,"Nieuwe Unie",294,2000
"Bocholt","72003",9,"VIA",372,2244
"Boechout","11004",1,"Open Vld",164,393
"Boechout","11004",2,"N-VA",782,1612
"Boechout","11004",6,"Groen-Gangmaker",284,630
"Boechout","11004",7,"CD&V",154,995
"Boechout","11004",8,"GEMEENTEBELANGEN",84,521
"Boechout","11004",9,"PROboechout&vremde",746,2422
"Bonheiden","12005",1,"Open Vld",261,643
"Bonheiden","12005",2,"N-VA",957,1653
"Bonheiden","12005",4,"sp.a",152,359
"Bonheiden","12005",6,"Groen",323,991
"Bonheiden","12005",7,"CD&V",198,1943
"Bonheiden","12005",8,"BR",388,2550
"Boom","11005",1,"Open Vld",222,514
"Boom","11005",2,"N-VA",1289,2819
"Boom","11005",3,"VLAAMS BELANG",505,1017
"Boom","11005",6,"Groen",237,572
"Boom","11005",7,"CD&V",193,757
"Boom","11005",8,"Boom één",285,2641
"Boom","11005",9,"EVA",34,53
"Boortmeerbeek","24014",1,"Open Vld",455,2702
"Boortmeerbeek","24014",2,"N-VA",888,948
"Boortmeerbeek","24014",3,"VLAAMS BELANG",164,295
"Boortmeerbeek","24014",4,"sp.a",316,931
"Boortmeerbeek","24014",7,"CD&V",275,1307
"Borgloon","73009",1,"Open Vld STROOP",224,2276
"Borgloon","73009",2,"N-VA",435,845
"Borgloon","73009",4,"sp.a",212,2368
"Borgloon","73009",7,"CD&V",164,1201
"Bornem","12007",2,"N-VA",1051,1280
"Bornem","12007",3,"VLAAMS BELANG",330,690
"Bornem","12007",4,"sp.a",249,2351
"Bornem","12007",6,"Groen",364,858
"Bornem","12007",7,"CD&V",557,5224
"Bornem","12007",8,"Beter Bornem",229,837
"Bornem","12007",9,"B! democratisch",94,988
"Borsbeek","11007",1,"Open Vld",84,320
"Borsbeek","11007",2,"N-VA",877,1264
"Borsbeek","11007",3,"VLAAMS BELANG",253,419
"Borsbeek","11007",6,"Groen",185,508
"Borsbeek","11007",7,"CD&V",139,851
"Borsbeek","11007",8,"BbA",154,887
